participant_id	nr_sessions	age	sex	group_beh_factor
sub-1292001	3	34.0	M	4
sub-1293002	3	20.0	M	5
sub-1291003	3	20.0	F	1
sub-1293004	3	26.0	M	5
sub-1291005	3	21.0	F	1
sub-1291006	3	20.0	M	1
sub-1292007	3	20.0	F	3
sub-1292008	3	23.0	M	3
sub-1292009	3	28.0	M	3
sub-1293010	3	26.0	F	5
sub-1291011	3	26.0	F	2
sub-1293012	3	37.0	F	5
sub-1291013	3	30.0	F	2
sub-1291014	3	25.0	M	1
sub-1292015	3	21.0	M	4
sub-1291016	3	27.0	F	5
sub-1293017	1	22.0	F	5
sub-1292018	1	25.0	M	5
sub-1291019	3	24.0	M	2
sub-1291020	3	22.0	M	2
sub-1291021	3	21.0	F	1
sub-1292022	3	22.0	M	5
sub-1293023	3	30.0	M	5
sub-1291024	3		M	2
sub-1293025	3	22.0	F	5
sub-1293026	3	34.0	M	5
sub-1292027	3	27.0	F	4
sub-1292028	2	26.0	F	4
sub-1291029	3	22.0	M	1
sub-1293030	3		NA	5
sub-1293031	3	34.0	M	5
sub-1292032	3	28.0	M	4
sub-1293033	3	36.0	F	5
sub-1293034	3	21.0	F	5
sub-1291035	3	20.0	M	1
sub-1292036	3	19.0	F	3
sub-1292037	3	24.0	F	3
sub-1292038	3	20.0	M	4
sub-1292039	3	19.0	F	3
sub-1293040	3	18.0	F	5
sub-1291041	3	21.0	F	1
sub-1293042	3	19.0	M	5
sub-1291043	3	30.0	M	1
sub-1293044	1	19.0	F	5
sub-1292045	3	28.0	F	4
sub-1291046	3		NA	2
sub-1291047	3	24.0	F	1
sub-1291048	3	19.0	M	2
sub-1293049	3	19.0	F	5
sub-1292050	3	21.0	F	3
sub-1293051	3		NA	5
sub-1292052	3	22.0	M	3
sub-1293053	3	22.0	M	5
sub-1293054	3	19.0	F	5
sub-1293055	3	20.0	M	5
sub-1291056	3	34.0	M	1
sub-1292057	3	30.0	F	4
sub-1293058	3	19.0	F	5
sub-1292059	1	21.0	F	4
sub-1292060	3	21.0	F	3
sub-1292061	3	34.0	F	3
sub-1293062	3	30.0	F	5
sub-1291063	3	28.0	F	1
sub-1293064	3		NA	5
sub-1293065	3	25.0	M	5
sub-1292066	3	20.0	F	3
sub-1292067	3	27.0	M	3
sub-1291068	3	22.0	M	1
sub-1292069	3	38.0	F	5
sub-1291070	3	25.0	F	2
sub-1291071	3	19.0	F	1
sub-1293073	3	19.0	F	5
sub-1293074	3	32.0	F	5
sub-1293075	3	23.0	F	5
sub-1291076	3	26.0	M	1
sub-1291077	3	19.0	F	1
sub-1291078	3	36.0	M	2
sub-1291079	3	30.0	M	1
sub-1293080	3	27.0	M	5
sub-1293081	3	25.0	F	5
sub-1291082	3		NA	5
sub-1292083	3	21.0	M	4
sub-1293084	3	24.0	F	5
sub-1293085	3		NA	5
sub-1292086	3	28.0	M	4
sub-1291087	3	23.0	F	5
sub-1293088	3		NA	5
sub-1293089	3	28.0	F	5
sub-1292090	1	30.0	M	4
sub-1291091	3	26.0	F	2
sub-1292092	1	20.0	F	4
sub-1291093	3		NA	2
sub-1292094	3		NA	5
sub-1291095	3	18.0	F	2
sub-1291096	3	25.0	M	1
sub-1291097	3	21.0	F	1
sub-1292098	3	21.0	F	3
sub-1291099	3		NA	5
sub-1292100	3		NA	4
sub-1291101	3	27.0	F	5
sub-1292102	3	20.0	F	3
sub-1292103	3		NA	5
sub-1293104	3	20.0	M	5
sub-1292105	3	23.0	F	4
sub-1293106	3	23.0	F	5
sub-1293107	3	29.0	F	5
sub-1292108	3		NA	4
sub-1291109	3	22.0	F	2
sub-1292110	3	29.0	F	3
sub-1291111	3	24.0	F	1
sub-1293112	3	23.0	M	5
sub-1291113	3	22.0	F	1
sub-1292114	3	29.0	F	3
sub-1292115	3	24.0	M	3
sub-1293116	3	31.0	M	5
sub-1291117	3		NA	2
sub-1292118	3		NA	5
sub-1292119	3	22.0	F	4
sub-1293120	3		NA	5
sub-1291121	3	23.0	M	1
sub-1293122	3	22.0	M	5
sub-1292123	3	20.0	F	3
sub-1292124	1	26.0	F	5
sub-1293125	3		NA	5
sub-1292126	3	20.0	F	4
sub-1291127	3	28.0	M	1
sub-1293128	3	20.0	F	5
sub-1292129	3	28.0	F	4
sub-1293130	2	25.0	F	5
sub-1293131	3		NA	5
sub-1291132	3	34.0	M	2
sub-1292133	3	22.0	M	4
sub-1292134	3	28.0	F	3
sub-1293135	3	20.0	M	5
sub-1292136	3	22.0	M	4
sub-1292137	3	25.0	F	4
sub-1291138	3	18.0	M	1
sub-1293139	3	20.0	M	5
sub-1292140	3	21.0	M	3
sub-1293141	3	26.0	M	5
sub-1292142	3	20.0	F	3
sub-1292143	3	21.0	F	4
sub-1292144	3		NA	5
sub-1291145	3	29.0	M	3
sub-1292146	3	21.0	F	3
sub-1293147	3	23.0	M	5
sub-1292148	3		NA	4
sub-1291149	3	27.0	M	2
sub-1292150	3	20.0	F	4
sub-1292151	3	23.0	F	3
sub-1292152	3		NA	5
sub-1293153	3	22.0	M	5
sub-1291154	3	23.0	M	2
sub-1291155	3	22.0	M	1
sub-1292156	3	20.0	F	3
sub-1292157	3	25.0	F	3
sub-1292158	3	31.0	F	3
sub-1291159	3	19.0	F	2
sub-1293160	3	21.0	F	5
sub-1291161	3	28.0	M	1
sub-1291162	3	25.0	F	2
sub-1291163	3		NA	4
sub-1293164	1	24.0	F	5
sub-1293165	3		NA	5
sub-1293166	3	21.0	F	5
sub-1293167	3	21.0	F	5
sub-1291168	3	22.0	F	2
sub-1292169	3	21.0	F	3
sub-1291170	3	23.0	M	1
sub-1293171	3	20.0	F	5
sub-1293172	3	20.0	F	5
sub-1291173	1	19.0	M	1
sub-1291174	3	23.0	F	1
sub-1293175	3	20.0	F	5